blood,Hemoglobin,#####,#####,####,####,####
blood,Hemoglobin,#####,#####,####,####,####
2021-04-25-21-02-10,50,1,0.350251016,0.957788896,0.512471422,0.87999887
2021-04-25-21-03-12,50,1,0.380608921,0.950154514,0.455531558,0.905183707
blood,Hemoglobin,#####,#####,####,####,####
blood,Hemoglobin,#####,#####,####,####,####
2021-04-25-21-14-50,50,1,0.3351556325637326,0.96134898056708,0.44508381353642035,0.9094831078143499
2021-04-25-21-15-59,50,1,0.4728474604127436,0.9230674673471627,0.4714245031784209,0.898452242421285
2021-04-25-21-17-04,50,1,0.42709267185533945,0.9372357783136982,0.5070764244738638,0.8825121727863513
2021-04-25-21-18-14,50,1,0.5649713346589368,0.8901700629476997,0.4449609144826972,0.9095330889827756
2021-04-25-21-19-19,50,1,0.565282821987999,0.8900489238301215,0.5341828121150575,0.869615533733246
2021-04-25-21-20-28,50,1,0.3041678590523238,0.9681657553205253,0.4747750630671564,0.8970036501521566
2021-04-25-21-21-39,50,1,0.386343139728918,0.9486412650328417,0.5318394310743386,0.8707569793165308
2021-04-25-21-22-48,50,1,0.348175285987524,0.9582877333491617,0.48541276528662836,0.8923365184241043
2021-04-25-21-24-01,50,1,0.5326470996924666,0.9023781482582178,0.5767288532113057,0.8480189669863274
2021-04-25-21-25-10,50,1,0.5568210397462883,0.8933160267064598,0.5010793246642017,0.8852747532827888
2021-04-25-21-26-20,50,1,0.2623422758338952,0.9763187582326949,0.5281040756271703,0.8725660714561343
2021-04-25-21-27-34,50,1,0.3984511191743902,0.9453716591922505,0.4590126546951359,0.9037290291878428
2021-04-25-21-28-39,50,1,0.5750140010854782,0.8862307887583555,0.44975710981283684,0.907572308019771
2021-04-25-21-29-44,50,1,0.33000922454246656,0.962526861575104,0.5790653953429353,0.8467850095517773
2021-04-25-21-30-52,50,1,0.49218288986390824,0.916647058230714,0.48951176210793806,0.8905105443304238
2021-04-25-21-31-58,50,1,0.47984007685321234,0.9207752378385985,0.5467792594297757,0.8633938982352986
2021-04-25-21-33-03,50,1,0.7805441872372797,0.7903654329648812,0.4451236584610067,0.9094669005290229
2021-04-25-21-34-12,50,1,0.3232375362887419,0.9640489578723495,0.44753183571256433,0.9084846588341736
2021-04-25-21-35-13,50,1,0.25219964835538555,0.9781144804225425,0.5590532858381673,0.8571920311544496
2021-04-25-21-36-18,50,1,0.6743937946827273,0.8435069556436363,0.513733864435969,0.8794069101998195
2021-04-25-21-37-17,50,1,0.48155288765203197,0.9202086356598602,0.525282284278643,0.8739242554922725
2021-04-25-21-38-15,50,1,0.465262387622509,0.9255158616264082,0.38115830056378863,0.9336170119149193
2021-04-25-21-39-16,50,1,0.7668800122772724,0.7976408971417883,0.5222074605167958,0.8753959444856805
2021-04-25-21-40-15,50,1,0.26999513755477883,0.9749169817671289,0.4910949907737674,0.8898011551543127
2021-04-25-21-41-21,50,1,0.3995315368137463,0.9450750032675536,0.5120061797209395,0.8802166543791984
2021-04-25-21-42-27,50,1,0.48818984520621883,0.9179940449076346,0.5012427086282237,0.8851999255236894
2021-04-25-21-43-43,50,1,0.35515810995435726,0.9565978363248375,0.5420774457347793,0.8657331780853018
2021-04-25-21-44-48,50,1,0.4081090129724267,0.942691336490234,0.5170012725415323,0.8778680594637134
2021-04-25-21-46-02,50,1,0.4851464725348241,0.9190133072355949,0.5461078172331829,0.8637291954569881
2021-04-25-21-47-17,50,1,0.6494250107906776,0.8548804481231591,0.4203671280195795,0.9192572515214206
2021-04-25-21-48-29,50,1,0.509522195593453,0.9106706605166864,0.5013844142505521,0.8851350064126773
2021-04-25-21-49-40,50,1,0.3323326464556419,0.9619973466574132,0.5376428753253698,0.8679209843590625
2021-04-25-21-50-52,50,1,0.6182237138654396,0.8684898637790719,0.49819850644007774,0.8865901239168994
2021-04-25-21-52-04,50,1,0.3756364869899186,0.9514484109279503,0.4573970342739541,0.9044055404636627
2021-04-25-21-53-26,50,1,0.30676639899376656,0.9676195049009308,0.5034972441270892,0.8841648863588466
2021-04-25-21-54-43,50,1,0.5072157242473774,0.9114775703219459,0.41599694548029964,0.9209273457689754
2021-04-25-21-55-58,50,1,0.6326821981573201,0.8622666413931018,0.42527117097155887,0.9173623574250834
2021-04-25-21-57-15,50,1,0.38583879035736346,0.9487752694229775,0.5050974509847866,0.8834274257284583
2021-04-25-21-58-31,50,1,0.429515986773833,0.9365215119084784,0.47508991675272455,0.8968669979323098
2021-04-25-21-59-46,50,1,0.40078920108255556,0.9447286680137483,0.5425672302869294,0.865490439617859
2021-04-25-22-01-01,50,1,0.30240015754691124,0.9685346958331039,0.48482377370765833,0.8925976339797155
2021-04-25-22-02-15,50,1,0.4306009016999429,0.9362004261320236,0.53587585136749,0.8687877428326378
2021-04-25-22-03-31,50,1,0.6220283730701,0.8668662092199749,0.49548857465132884,0.8878205457718276
2021-04-25-22-04-45,50,1,0.5043921727322714,0.9124603945067804,0.48220218643207424,0.8937560071417167
2021-04-25-22-06-00,50,1,0.3307620310505782,0.962355701520859,0.5427675528269009,0.8653910960911939
2021-04-25-22-07-15,50,1,0.3126079484015197,0.9663745627349509,0.4667779877618418,0.9004441537314678
2021-04-25-22-08-29,50,1,0.30110107375553413,0.9688044593611248,0.5481267220243135,0.8627197745600728
2021-04-25-22-09-43,50,1,0.4250424635404993,0.9378369165755135,0.4542781042744398,0.9057047876137156
2021-04-25-22-10-59,50,1,0.35549114640242274,0.956516400597412,0.5001572514688237,0.8856965936507762
2021-04-25-22-12-13,50,1,0.3863813398355932,0.9486311082269059,0.49295305297897685,0.888965701072457
2021-04-25-22-13-27,50,1,0.9187333224281872,0.7095664086412687,0.39960443126261436,0.927036337716625
2021-04-25-22-14-42,50,1,0.42154385754928747,0.938856057380838,0.5029494996499286,0.8844167786286675
