Ä£ÐÍÃû³Æ,epochs,batch_size,RMSEC,R_C,RMSEP,R_P
my_model,30,20,0.359215,-0.135468,0.451909,-0.038726
2021-03-26-16-40-04,30,1,0.311622,0.719771,0.401169,0.169414
2021-03-26-16-53-07,30,1,0.312918,0.679496,0.397959,0.191172
2021-03-26-18-24-05,30,1,0.247486,0.218639,0.513,0.76795
2021-03-26-19-37-55,30,1,0.321650550827225,0.4898278588990289,0.43128073330384825,0.2598886199298343
2021-03-26-19-40-14,30,1,0.26848950264411525,0.2636348927135663,0.4282553700399,0.17017507454150602
2021-03-26-19-45-50,30,1,0.26635104133220383,0.5724701577927754,0.41328494999775783,0.2505113597646989
2021-03-26-19-46-32,30,1,0.30300336413598505,0.8145486709592196,0.4185265788786755,0.2068902745243796
2021-03-26-19-47-12,30,1,0.3222514744567715,1.0121218405789176,0.40548855529724026,0.2987892733987614
2021-03-26-19-47-53,30,1,0.2841469789920919,0.7523039028763916,0.4023565257827546,0.23273291699196644
2021-03-26-19-48-45,30,1,0.29145874225228346,0.6445989011080289,0.4067658221232518,0.1789812437533458
2021-03-26-19-49-50,30,1,0.3380948021605516,0.5701305728767846,0.4061666818933878,0.10985229509877077
2021-03-26-19-50-49,30,1,0.3147902111946279,0.6742814763889473,0.40454890482769185,0.12692677710389708
2021-03-26-19-52-29,30,1,0.35206461519338456,0.6980460066911507,0.39471118017895657,0.16492978146056195
2021-03-26-19-53-07,30,1,0.25038417645890065,0.4942463977855882,0.41438026154989227,0.20908756287606464
2021-03-26-19-53-52,30,1,0.3542785433528157,0.4826283748501365,0.4216775779011432,0.07651035003485472
2021-03-26-19-54-51,30,1,0.3047916163323168,0.804792331538597,0.4036600253086854,0.2060487838772699
2021-03-26-19-55-41,30,1,0.3070862794370037,0.6215295149570397,0.39316865618543334,0.18629638471018836
2021-03-26-19-56-40,30,1,0.39934116139373854,1.404087420386124,0.4109663417259372,0.26308987338323847
2021-03-26-19-57-31,30,1,0.35714068650320563,0.9616271849402268,0.3967027608281528,0.2845807693330584
2021-03-26-23-15-24,30,1,0.2993099715953536,0.7814311691906183,0.39219064301741635,0.2139511013244659
2021-03-26-23-19-01,30,1,0.30857560682208485,0.7681235316027639,0.39270934829568427,0.17620120362814395
2021-03-26-23-20-43,30,1,0.26873421622624327,0.5525203011218228,0.3959305697305152,0.20059092686567118
2021-03-26-23-22-11,30,1,0.2753563181219192,0.592813619479389,0.41208779574917753,0.16948820930474817
2021-03-26-23-22-50,30,1,0.2748977782083685,0.6811692744401198,0.43111981089497076,0.30009154748015815
2021-03-26-23-23-59,30,1,0.29348269068935184,0.7088223163686641,0.4294057697504189,0.19654746986884095
2021-03-26-23-24-33,30,1,0.2780456778558972,0.7297702385183955,0.43547041041346285,0.37516213199057863
2021-03-26-23-24-59,30,1,0.30573156722568184,1.0931451781167676,0.41077719046305833,0.2914637467430968
2021-03-26-23-25-48,30,1,0.29163380483529994,0.7354116852443856,0.3930168544856057,0.23552607721141347
2021-03-26-23-26-44,30,1,0.23481529595823605,0.6179824527938731,0.419195755240994,0.2713456798840401
2021-03-26-23-27-19,30,1,0.4531490596531428,1.4370244945617818,0.40525311891760674,0.14142835608968754
2021-03-26-23-30-31,30,1,0.2704101590884597,0.762545235270077,0.3998829349109703,0.2685482921802244
2021-03-26-23-30-59,30,1,0.28853719186145466,0.7317414438424035,0.3988633930668738,0.14827590090996912
2021-03-26-23-31-36,30,1,0.28443649035823254,0.774179560658563,0.4011234841147822,0.25433074355225743
2021-03-26-23-33-39,30,1,0.32931131254524154,0.9098229736017263,0.39521996996020875,0.2099127393930192
